1537447955335,48965,x,y,z
8117,678,29,618,276
8137,666,19,609,267
8157,652,41,593,269
8177,660,34,598,276
8197,645,44,586,265
8217,617,41,563,250
8237,614,32,559,251
8258,609,22,554,251
8278,604,16,550,248
8298,628,21,566,271
8318,631,13,563,283
8338,649,7,582,287
8358,658,12,593,285
8378,685,-3,615,301
8399,706,22,632,312
8419,720,25,643,323
8439,763,18,680,344
8459,779,29,704,332
8479,817,24,734,357
8499,834,20,745,376
8519,837,20,744,384
8540,852,11,757,391
8560,874,16,778,396
8580,883,14,785,403
8600,908,13,806,417
8620,940,18,833,435
8640,966,9,857,446
8660,985,7,874,455
8681,990,15,879,455
8701,996,19,883,461
8721,1017,24,903,466
8741,1035,29,920,475
8761,1048,19,925,492
8781,1042,14,920,487
8801,1048,19,927,488
8822,1044,22,927,481
8842,1054,18,939,478
8862,1060,39,943,483
8882,1051,39,934,480
8902,1039,39,923,474
8922,1044,27,930,472
8942,1029,28,916,468
8963,1023,31,909,469
8983,1013,30,897,468
9003,1006,31,892,463
9023,1010,33,901,456
9043,1013,26,903,459
9063,1014,18,904,457
9083,1013,28,901,462
9104,1009,17,897,461
9124,1009,17,897,461
9144,1000,18,891,455
9164,1005,8,899,451
9184,1028,12,917,465
9204,1035,8,921,472
9224,1039,20,923,476
9244,1052,0,937,479
9265,1054,8,940,477
9285,1067,3,952,481
9305,1074,5,957,488
9325,1077,19,959,488
9345,1079,14,964,484
9365,1090,13,973,492
9385,1095,2,981,486
9406,1120,4,1002,500
9426,1140,-3,1018,512
9446,1140,-3,1018,512
9466,1130,9,1010,505
9486,1141,-1,1025,501
9506,1157,-5,1041,503
9526,1168,0,1053,505
9547,1196,0,1072,530
9567,1196,0,1072,530
9587,1200,-3,1077,530
9607,1204,-9,1081,529
9627,1210,-10,1090,524
9647,1203,-2,1085,518
9667,1220,-9,1100,528
9688,1219,-17,1096,533
9708,1210,-19,1087,532
9728,1221,-26,1098,534
9748,1213,-24,1093,527
9768,1196,-15,1078,516
9788,1173,-8,1062,499
9808,1157,-10,1048,490
9829,1134,-11,1030,475
9849,1159,-19,1050,490
9869,1147,-21,1038,489
9889,1129,-18,1021,480
9909,1102,-17,1001,461
9929,1083,-25,987,443
9949,1058,-10,968,428
9970,1045,-4,955,424
9990,1049,-10,956,432
10010,1051,-9,955,439
10030,1060,-10,964,438
10050,1088,-25,993,444
10070,1098,-12,1003,445
10090,1111,-7,1015,452
10111,1132,-4,1031,466
10131,1147,-2,1045,471
10151,1169,-11,1066,479
10171,1194,-21,1087,493
10191,1193,-20,1083,500
10211,1170,-7,1063,487
10231,1153,-11,1051,475
10252,1167,-24,1064,478
10272,1174,-12,1069,486
10292,1197,-18,1085,505
10312,1208,-12,1091,517
10332,1206,-23,1094,506
10352,1224,-29,1111,512
10372,1215,-9,1101,512
10393,1194,-13,1080,507
10413,1194,-13,1080,507
10433,1225,-17,1108,522
10453,1232,-23,1112,528
10473,1235,-23,1109,542
10493,1213,-24,1090,531
10513,1202,-25,1082,522
10534,1207,-10,1091,516
10554,1211,-8,1091,525
10574,1192,-14,1069,527
10594,1154,-4,1036,508
10614,1151,-16,1036,499
10634,1126,-2,1017,483
10654,1095,-3,987,473
10675,1083,6,972,476
10695,1057,9,954,456
10715,1046,10,942,455
10735,1027,9,927,441
10755,991,9,894,428
10775,988,7,884,439
10795,969,7,868,430
10816,929,8,828,422
10836,912,7,816,408
10856,883,15,797,378
10876,875,24,789,376
10896,860,25,775,372
10916,846,40,758,374
10936,819,35,734,361
10957,813,33,728,359
10977,829,26,743,368
10997,808,38,722,360
11017,793,20,709,355
11037,766,31,686,340
11057,779,23,699,344
11077,799,26,714,358
11098,808,44,710,383
11118,823,40,723,390
11138,809,34,714,377
11158,841,21,750,380
11178,874,28,782,388
11198,932,35,824,434
11218,955,61,835,459
11239,961,42,840,465
11259,972,41,855,460
11279,973,17,861,452
11299,992,16,872,472
11319,993,34,862,490
11339,950,42,823,472
11359,946,31,822,467
11379,948,44,829,457
11400,913,36,802,435
11420,895,41,774,447
11440,871,44,757,427
11460,839,55,737,397
11480,860,27,757,406
11500,882,49,772,423
11520,883,60,764,438
11541,885,50,760,450
11561,899,53,772,458
11581,911,29,793,446
11601,945,33,821,465
11621,971,41,834,496
11641,974,46,836,496
11661,987,47,847,505
11682,989,44,854,498
11702,994,40,865,488
11722,1010,52,876,500
11742,1034,54,898,510
11762,1057,55,913,528
11782,1060,52,912,536
11802,1072,41,924,540
11823,1084,35,933,549
11843,1098,38,949,551
11863,1111,37,964,551
11883,1132,35,978,569
11903,1137,50,986,565
11923,1149,46,997,569
11943,1198,15,1038,597
11964,1220,24,1061,601
11984,1244,28,1080,617
12004,1278,23,1107,638
12024,1285,17,1115,638
12044,1310,12,1143,638
12064,1322,20,1157,639
12084,1330,22,1157,654
12105,1338,38,1158,669
12125,1334,30,1158,661
12145,1349,21,1171,669
12165,1342,24,1166,664
12185,1336,8,1157,667
12205,1305,24,1132,648
12225,1276,24,1111,627
12246,1249,9,1089,611
12266,1223,23,1068,596
12286,1214,22,1054,602
12306,1187,31,1029,590
12326,1159,20,1007,573
12346,1138,29,987,567
12366,1120,12,979,544
12387,1121,14,983,539
12407,1117,40,974,546
12427,1121,11,978,548
12447,1105,31,960,546
12467,1107,20,962,548
12487,1101,5,961,538
12507,1101,5,961,538
12528,1089,10,953,527
12548,1094,18,959,525
12568,1082,26,948,521
12588,1081,24,950,515
12608,1081,24,950,515
12628,1077,19,947,511
12648,1080,15,953,507
12669,1080,15,953,507
12689,1099,13,971,513
12709,1099,13,971,513
12729,1110,13,976,527
12749,1112,12,982,522
12769,1128,9,1001,519
12789,1147,-6,1018,527
12810,1168,2,1034,543
12830,1182,-1,1047,549
12850,1191,5,1055,553
12870,1207,3,1072,555
